In The Groove	H	D	7	Don't Promise Me	
In The Groove	M	D	5	Don't Promise Me	
In The Groove	X	D	9	Don't Promise Me	
In The Groove	E	S	3	Don't Promise Me	
In The Groove	H	S	6	Don't Promise Me	
In The Groove	M	S	4	Don't Promise Me	
In The Groove	N	S	1	Don't Promise Me	
In The Groove	E	D	4	Don't Promise Me	~Happiness~
In The Groove	H	D	8	Don't Promise Me	~Happiness~
In The Groove	M	D	6	Don't Promise Me	~Happiness~
In The Groove	X	D	9	Don't Promise Me	~Happiness~
In The Groove	E	S	4	Don't Promise Me	~Happiness~
In The Groove	H	S	8	Don't Promise Me	~Happiness~
In The Groove	M	S	5	Don't Promise Me	~Happiness~
In The Groove	N	S	1	Don't Promise Me	~Happiness~
In The Groove	E	D	1	Dreams of Passion	
In The Groove	H	D	5	Dreams of Passion	
In The Groove	M	D	2	Dreams of Passion	
In The Groove	E	S	2	Dreams of Passion	
In The Groove	H	S	5	Dreams of Passion	
In The Groove	M	S	4	Dreams of Passion	
In The Groove	N	S	1	Dreams of Passion	
In The Groove	E	D	3	Drifting Away	
In The Groove	H	D	7	Drifting Away	
In The Groove	M	D	6	Drifting Away	
In The Groove	X	D	9	Drifting Away	
In The Groove	E	S	3	Drifting Away	
In The Groove	H	S	8	Drifting Away	
In The Groove	M	S	5	Drifting Away	
In The Groove	N	S	1	Drifting Away	
In The Groove	X	S	9	Drifting Away	
In The Groove	E	D	4	Driving Force Classical	
In The Groove	H	D	8	Driving Force Classical	
In The Groove	M	D	7	Driving Force Classical	
In The Groove	X	D	9	Driving Force Classical	
In The Groove	E	S	2	Driving Force Classical	
In The Groove	H	S	8	Driving Force Classical	
In The Groove	M	S	5	Driving Force Classical	
In The Groove	N	S	1	Driving Force Classical	
In The Groove	X	S	9	Driving Force Classical	
In The Groove	E	D	3	Euphoria	
In The Groove	H	D	9	Euphoria	
In The Groove	M	D	6	Euphoria	
In The Groove	X	D	10	Euphoria	
In The Groove	E	S	3	Euphoria	
In The Groove	H	S	9	Euphoria	
In The Groove	M	S	6	Euphoria	
In The Groove	N	S	1	Euphoria	
In The Groove	X	S	12	Euphoria	
In The Groove	E	D	3	Fly Away	
In The Groove	H	D	7	Fly Away	
In The Groove	M	D	5	Fly Away	
In The Groove	X	D	9	Fly Away	
In The Groove	E	S	2	Fly Away	
In The Groove	H	S	7	Fly Away	
In The Groove	M	S	5	Fly Away	
In The Groove	N	S	1	Fly Away	
In The Groove	X	S	9	Fly Away	
In The Groove	E	D	4	Fly With Me	
In The Groove	H	D	8	Fly With Me	
In The Groove	M	D	6	Fly With Me	
In The Groove	X	D	9	Fly With Me	
In The Groove	E	S	2	Fly With Me	
In The Groove	H	S	7	Fly With Me	
In The Groove	M	S	5	Fly With Me	
In The Groove	N	S	1	Fly With Me	
In The Groove	X	S	9	Fly With Me	
In The Groove	E	D	3	Flying High	
In The Groove	H	D	8	Flying High	
In The Groove	M	D	6	Flying High	
In The Groove	X	D	9	Flying High	
In The Groove	E	S	2	Flying High	
In The Groove	H	S	8	Flying High	
In The Groove	M	S	5	Flying High	
In The Groove	N	S	1	Flying High	
In The Groove	X	S	9	Flying High	
In The Groove	E	D	3	Hand of Time	
In The Groove	H	D	9	Hand of Time	
In The Groove	M	D	6	Hand of Time	
In The Groove	X	D	10	Hand of Time	
In The Groove	E	S	3	Hand of Time	
In The Groove	H	S	8	Hand of Time	
In The Groove	M	S	4	Hand of Time	
In The Groove	N	S	1	Hand of Time	
In The Groove	X	S	10	Hand of Time	
In The Groove	E	D	5	Hardcore of the North	
In The Groove	H	D	9	Hardcore of the North	
In The Groove	M	D	6	Hardcore of the North	
In The Groove	X	D	11	Hardcore of the North	
In The Groove	E	S	4	Hardcore of the North	
In The Groove	H	S	9	Hardcore of the North	
In The Groove	M	S	6	Hardcore of the North	
In The Groove	N	S	1	Hardcore of the North	
In The Groove	X	S	12	Hardcore of the North	
In The Groove	E	D	3	Hip Hop Jam	
In The Groove	H	D	9	Hip Hop Jam	
In The Groove	M	D	7	Hip Hop Jam	
In The Groove	X	D	10	Hip Hop Jam	
In The Groove	E	S	2	Hip Hop Jam	
In The Groove	H	S	6	Hip Hop Jam	
In The Groove	M	S	4	Hip Hop Jam	
In The Groove	N	S	1	Hip Hop Jam	
In The Groove	X	S	9	Hip Hop Jam	
In The Groove	E	D	3	Hybrid	
In The Groove	H	D	9	Hybrid	
In The Groove	M	D	8	Hybrid	
In The Groove	X	D	10	Hybrid	
In The Groove	E	S	3	Hybrid	
In The Groove	H	S	9	Hybrid	
In The Groove	M	S	5	Hybrid	
In The Groove	N	S	1	Hybrid	
In The Groove	X	S	10	Hybrid	
In The Groove	E	D	2	I Think I Like That Sound	
In The Groove	H	D	8	I Think I Like That Sound	
In The Groove	M	D	6	I Think I Like That Sound	
In The Groove	X	D	9	I Think I Like That Sound	
In The Groove	E	S	3	I Think I Like That Sound	
In The Groove	H	S	8	I Think I Like That Sound	
In The Groove	M	S	5	I Think I Like That Sound	
In The Groove	N	S	1	I Think I Like That Sound	
In The Groove	X	S	9	I Think I Like That Sound	
In The Groove	E	D	1	I'll Get There Anyway	
In The Groove	H	D	7	I'll Get There Anyway	
In The Groove	M	D	5	I'll Get There Anyway	
In The Groove	E	S	3	I'll Get There Anyway	
In The Groove	H	S	7	I'll Get There Anyway	
In The Groove	M	S	6	I'll Get There Anyway	
